HarperCollins,261103253
RHUK,99549484
CreateSpace Independent Publishing Platform,1530427525
RHUS,345453743
Bloomsbury Paperbacks,140882776X
RHUK,1519182139
Back Bay Books,99582074
Vintage Digital,316216372
Wordsworth Editions,1533406251
CreateSpace Independent Publishing Platform,1853261912
CreateSpace Independent Publishing Platform,140296409
SparkNotes,1411469674
Penguin Classics,141180315
Bloomsbury Paperbacks,1853262404
Wordsworth Editions,1853261777
Wordsworth Editions,1853262714
Wordsworth Editions,1853260088
